Quarterly;;;;Year/Année 2000;;;;Year/Année 2001;;;;Year/Année 2002;;;;Year/Année 2003;;;;Year/Année 2004;;;;Year/Année 2005;;;;Year/Année 2006;;;;Year/Année 2007;;;;Year/Année 2008;;;;Year/Année 2009;;;;Year/Année 2010;;;;Year/Année 2011;;;;Year/Année 2012;;;;Year/Année 2013;;;;Year/Année 2014;;;;Year/Année 2015;;;;Year/Année 2016;;;;Year/Année 2017;;;;;;
;;;;Q1 2000;Q2 2000;Q3 2000;Q4 2000;Q1 2001;Q2 2001;Q3 2001;Q4 2001;Q1 2002;Q2 2002;Q3 2002;Q4 2002;Q1 2003;Q2 2003;Q3 2003;Q4 2003;Q1 2004;Q2 2004;Q3 2004;Q4 2004;Q1 2005;Q2 2005;Q3 2005;Q4 2005;Q1 2006;Q2 2006;Q3 2006;Q4 2006;Q1 2007;Q2 2007;Q3 2007;Q4 2007;Q1 2008;Q2 2008;Q3 2008;Q4 2008;Q1 2009;Q2 2009;Q3 2009;Q4 2009;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;;
;;;;T1 2000;T2 2000;T3 2000;T4 2000;T1 2001;T2 2001;T3 2001;T4 2001;T1 2002;T2 2002;T3 2002;T4 2002;T1 2003;T2 2003;T3 2003;T4 2003;T1 2004;T2 2004;T3 2004;T4 2004;T1 2005;T2 2005;T3 2005;T4 2005;T1 2006;T2 2006;T3 2006;T4 2006;T1 2007;T2 2007;T3 2007;T4 2007;T1 2008;T2 2008;T3 2008;T4 2008;T1 2009;T2 2009;T3 2009;T4 2009;T1 2010;T2 2010;T3 2010;T4 2010;T1 2011;T2 2011;T3 2011;T4 2011;T1 2012;T2 2012;T3 2012;T4 2012;T1 2013;T2 2013;T3 2013;T4 2013;T1 2014;T2 2014;T3 2014;T4 2014;T1 2015;T2 2015;T3 2015;T4 2015;T1 2016;T2 2016;T3 2016;T4 2016;T1 2017;T2 2017;T3 2017;T4 2017;T1 2018;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I. Indicators of networks - raw series;;I. Indicateurs Physiques - Séries brutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIXED SERVICES;;RESEAUX FIXES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(*) Source : AFA until 2002.Access providers : 9 online, AOL France, Club Internet, Free (RTC uniquement), InterPC, NC, Noos, Tiscali France, UPC France, Wanadoo. Are taken into account free access to service and usage billed subcriptions.;;(*) Source : AFA jusqu'en 2002. Chiffres des fournisseurs d'accès suivants : 9 online, AOL France, Club Internet, Free (RTC uniquement), InterPC, NC, Noos, Tiscali France, UPC France, Wanadoo. Sont comptabilisés les comptes d'accès gratuits ou facturés à l'usage.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broadband (<30 Mbit/s);Millions of units;Abonnements à haut débit (<30 Mbit/s);Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,606;20,812;21,094;21,389;21,668;21,873;22,161;22,369;22,534;22,623;22,797;22,877;23,009;23,052;23,157;23,041;22,868;22,700;22,750;22,657;22,574;22,447;22,391;22,231;22,077;21,910;21,720;21,440;21,112;p41;
of wich xDSL (< 30Mbit/s);Millions of units;dont nombre d'abonnements ADSL haut débit (< 30Mbit/s);Millions d'unités;;;;0,068;0,111;0,177;0,257;0,408;0,559;0,695;0,838;1,368;1,921;2,104;2,478;3,172;3,978;4,483;5,062;6,105;6,831;7,369;7,948;8,882;9,870;10,456;11,138;12,019;12,989;13,455;14,090;14,805;15,484;15,872;16,323;16,804;17,394;17,704;18,124;18,586;18,909;19,147;19,456;19,859;20,234;20,435;20,696;20,984;21,262;21,480;21,751;21,981;22,153;22,252;22,402;22,461;22,585;22,628;22,714;22,569;22,393;22,225;22,248;22,146;22,064;21,940;21,878;21,705;21,553;21,376;21,199;20,904;20,581;p42;
of wich other broadband access;Millions of units;dont autres abonnements à haut débit;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,372;0,377;0,398;0,405;0,406;0,393;0,411;0,389;0,381;0,370;0,395;0,416;0,424;0,424;0,443;0,473;0,475;0,474;0,502;0,510;0,510;0,507;0,513;0,526;0,524;0,533;0,521;0,536;0,531;p43;
Ultra-fast broadband;Millions of units;Abonnements très haut débit;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,348;0,496;0,575;0,662;0,741;0,815;0,867;0,948;1,005;1,032;1,063;1,125;1,179;1,220;1,272;1,349;1,398;1,441;1,491;1,615;1,718;1,776;1,864;2,067;2,219;2,356;2,497;2,933;3,309;3,577;3,824;4,211;4,510;4,781;5,058;5,448;5,843;6,146;6,511;6,988;7,507;p44;
of which with a flow rate superior to 100 Mbit/s;;Abonnements >= 100 Mbit/s;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,153;0,596;0,663;0,715;0,841;0,944;1,047;1,118;1,206;1,323;1,444;1,542;1,652;1,829;2,004;2,155;2,392;2,629;2,768;2,970;3,181;3,448;3,716;3,972;4,262;4,618;4,971;p45;
of wich fiber;;dont nombre d'abonnements en fibre de bout en bout (BLOM et BLOD);Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,077;0,086;0,091;0,107;1,043;0,153;0,172;0,197;0,217;0,246;0,271;0,323;0,379;0,426;0,480;0,559;0,640;0,720;0,801;0,937;1,041;1,158;1,271;1,443;1,603;1,764;1,926;2,164;2,437;2,653;2,917;3,276;3,639;p46;
of wich coaxial cable;Millions of units;dont avec terminaison en câble coaxial;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,424;0,466;0,498;0,529;0,570;0,621;0,668;0,691;0,726;0,764;0,804;0,821;0,851;0,893;0,963;0,997;1,121;1,187;1,165;1,207;1,254;1,284;1,279;1,320;1,345;1,342;1,333;p47;
of which with a flow rate between 30 & 100 Mbit/s;Millions of units;Abonnements ? 30 et <100 Mbit/s (VDSL2 et terminaison en câble coaxial);Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,676;0,685;0,685;0,666;0,650;0,670;0,671;0,658;0,657;0,744;0,775;0,814;0,845;1,104;1,305;1,422;1,432;1,582;1,742;1,811;1,877;2,001;2,127;2,174;2,250;2,370;2,536;p48;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broadband and ultra-fast broadband internet subscriptions;Millions of units;Nombre d'abonnements à Internet haut et très haut débit;Millions d'unités;;;;0,196;0,265;0,343;0,430;0,602;0,771;0,932;1,092;1,655;2,237;2,444;2,830;3,569;4,401;4,911;5,498;6,563;7,330;7,893;8,484;9,448;10,475;11,092;11,793;12,695;13,678;14,189;14,812;15,551;16,256;16,728;17,289;17,819;18,487;18,830;19,285;19,852;20,256;20,510;20,864;21,337;21,786;22,032;22,366;22,738;23,066;23,314;23,652;23,984;24,252;24,399;24,661;24,944;25,228;25,407;25,654;25,975;26,177;26,277;26,574;26,868;27,084;27,228;27,449;27,679;27,920;28,056;28,231;28,428;28,620;p49;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TV subscriptions tied to internet access;Millions of units;Nombre d'accès à la TV couplés à l'accès internet ;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,196;14,488;14,880;15,289;15,675;15,850;16,211;16,604;16,865;17,153;17,431;17,781;17,989;18,309;18,566;18,600;18,875;18,902;19,027;19,370;19,607;19,752;19,913;20,126;20,307;p57;
of which subscriptions to TV on DSL;Millions of units;dont nombre d'accès à la TV par xDSL;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,124;11,311;11,598;12,002;12,207;12,298;12,567;12,796;12,984;13,176;13,351;13,554;13,635;13,545;13,666;13,803;13,907;13,983;14,069;14,242;14,303;14,286;14,274;14,263;14,211;p58;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;
All calls from fixed lines (traffic of public payphones and cards included);Millions of minutes;Volumes de téléphonie des lignes fixes (yc publiph. et cartes);Millions de minutes;32 016;32 710;32 524;33 196;31 923;29 670;27 055;29 975;29 553;28 075;25 858;28 050;28 183;26 972;24 942;27 760;27 909;25 828;24 009;26 547;27 573;26 334;23 625;26 923;28 502;26 336;23 864;26 737;27 523;25 936;23 955;28 007;28 846;27 457;24 755;28 045;28 997;27 322;25 535;28 991;30 587;27 977;24 972;29 527;29 869;28 126;25 481;29 255;31 263;28 357;25 727;28 299;28 757;25 932;23 296;25 300;25 071;22 917;20 770;22 913;23 455;20 877;19 212;20 956;;;;;;;;;;;
All calls from fixed lines (traffic of public payphones and cards excluded);Millions of minutes;Communications au départ des postes fixes (hors publiphonie et cartes);Millions de minutes;30 878;31 545;31 196;32 109;30 878;28 643;26 019;29 013;28 719;27 296;25 001;27 322;27 512;26 249;24 175;27 035;27 221;25 120;23 252;25 879;26 876;25 613;22 885;26 126;27 774;25 646;23 154;26 069;26 881;25 374;23 442;27 546;28 426;27 021;24 324;27 671;28 656;26 990;25 187;28 650;30 185;27 582;24 592;29 219;29 591;27 850;25 238;29 047;31 064;28 209;25 560;28 157;28 143;25 484;22 906;24 897;24 609;22 497;20 443;22 545;23 069;20 560;19 013;20 461;20 786;19 197;16 913;18 217;18 608;16 590;15 159;16 517;16 545;t170;
