Operateur;X;Y;2G;3G;4G
20820;113100;2351870;1;1;1
20815;113110;2351862;0;1;1
20815;113237;2334340;0;1;1
20820;113243;2334339;1;1;1
20801;113244;2334330;1;1;1
20820;113415;2347565;1;1;1
20810;113420;2347570;1;1;1
20820;113515;2347568;1;1;1
20820;113797;2390400;1;0;0
20810;113817;2390371;1;1;1
20810;114081;2401696;1;0;0
20810;114128;2340457;1;1;1
20801;114151;2340420;1;1;1
20820;114159;2340431;1;1;1
20815;114159;2340431;0;1;1
20820;114187;2403139;1;1;0
20801;114193;2403138;1;1;1
20820;114236;2363640;1;1;1
20815;114236;2363640;0;1;1
20801;114698;2388935;1;1;0
20801;114850;2348990;1;1;0
20801;114885;2360945;1;1;0
20820;115790;2387730;1;1;0
20815;115827;2387719;0;1;1
20801;116100;2347070;1;1;0
20820;116505;2349660;1;1;1
20815;116527;2349657;0;1;1
20801;116537;2339600;1;1;1
20810;116539;2349660;1;1;1
20815;116549;2339582;0;1;1
20810;116941;2353054;1;1;0
20801;117033;2422554;1;1;1
20801;117395;2350220;1;1;0
20820;117474;2377807;1;1;0
20820;117635;2352899;1;0;1
20810;117640;2352900;0;0;1
20801;117645;2352890;1;1;1
20810;117850;2351510;1;1;1
20820;117850;2351510;1;1;1
20801;117958;2356326;1;1;0
20801;118110;2351660;1;1;1
20801;118313;2373971;0;1;0
20810;118333;2339580;1;1;1
20820;118336;2339580;1;1;1
20801;118336;2339581;1;1;1
20810;118500;2366505;1;1;1
20820;118500;2366505;1;1;1
20820;118675;2422380;1;1;1
20810;118678;2422386;1;1;1
20810;118705;2383760;1;1;1
20820;118705;2383760;1;1;1
20815;118705;2383760;0;1;1
20801;118720;2383763;1;1;0
20801;118793;2409203;1;0;0
20801;118888;2352092;1;1;1
20810;119060;2352500;1;0;0
20801;119390;2352690;1;1;1
20820;119398;2352675;1;1;1
20801;119459;2353999;1;1;1
20820;119600;2352620;1;0;0
20801;119700;2352096;1;1;0
20810;119748;2413926;1;1;0
20820;119748;2413926;1;0;0
20801;119748;2413926;1;1;0
20820;119760;2351080;1;1;1
20810;119773;2351059;1;1;1
20820;119774;2426954;1;1;1
20801;119774;2351058;1;1;1
20815;119776;2426984;0;1;1
20801;119780;2426952;1;1;1
20810;119819;2352279;1;1;1
20820;119820;2352285;1;0;1
20801;120162;2352595;1;1;1
20820;120188;2375392;1;1;1
20815;120188;2375392;0;1;1
