Operateur;X;Y;2G;3G;4G
20801;819670;6368052;1;1;1
20801;811560;6447721;1;1;0
20801;823429;6440514;1;1;0
20801;830944;6430801;1;1;0
20801;840992;6436127;1;1;0
20801;833215;6436419;1;1;0
20801;818350;6430425;1;1;0
20801;814394;6443450;1;1;0
20801;828846;6437816;1;1;0
20801;820417;6456527;1;1;0
20801;843237;6415182;1;1;0
20801;833483;6383714;1;1;1
20801;824460;6460394;1;1;0
20801;829541;6403090;1;1;0
20801;846009;6420672;1;1;0
20801;847245;6428695;1;1;1
20801;804753;6384557;1;0;0
20801;811847;6366298;1;1;1
20801;813855;6365450;1;1;0
20801;823895;6358895;1;0;0
20801;827780;6415819;1;1;0
20801;833435;6419983;1;1;0
20801;802053;6377921;1;1;1
20801;830963;6364825;1;1;1
20801;812455;6381793;1;1;1
20801;832435;6385797;1;1;0
20801;835613;6389061;1;1;1
20801;827843;6444371;1;1;1
20801;837457;6463147;1;1;0
20801;838316;6406027;1;1;1
20801;808880;6375616;1;1;0
20801;796483;6396854;1;1;1
20801;827086;6367091;1;1;0
20801;832271;6457073;1;1;0
20801;834449;6382901;1;1;0
20801;830769;6366695;1;1;0
20801;778282;6387706;0;1;0
20801;775279;6401365;0;1;0
20801;798676;6392100;0;1;0
20801;781301;6395207;0;1;0
20801;800035;6387918;0;1;0
20801;779490;6381533;0;1;0
20801;785565;6379846;0;1;0
20801;820364;6374567;0;1;0
20801;796903;6384921;0;1;0
20801;787138;6389131;0;1;0
20801;810225;6420051;0;1;0
20801;804988;6426991;0;1;0
20801;792571;6383050;0;1;0
20801;798012;6410604;0;1;0
20801;831279;6462988;1;1;0
20801;781605;6412359;0;1;0
20801;776670;6411244;0;1;0
20801;786740;6414703;0;1;0
20801;783143;6378921;0;1;0
20801;789264;6385268;0;1;0
20801;770889;6395808;0;1;0
20801;817889;6419717;0;1;0
20801;819957;6414487;0;1;0
20801;808732;6421663;0;1;0
20801;808452;6402156;0;1;0
20801;785985;6407053;0;1;0
20801;788394;6401538;0;1;0
20801;806221;6412942;0;1;0
20801;803035;6404479;0;1;0
20801;814559;6403921;0;1;0
20801;811835;6405565;0;1;0
20801;788536;6410409;0;1;0
20801;784881;6404698;0;1;0
20801;811579;6413452;0;1;0
20801;816147;6408890;0;1;0
20801;814315;6368524;0;1;0
20801;791324;6388152;0;1;0
20801;824318;6396291;0;1;0
20801;829593;6393454;0;1;0
20801;828277;6392454;0;1;0
20801;833947;6399006;0;1;0
20801;804385;6422663;0;1;0
20801;806550;6406035;0;1;0
20801;803393;6428319;0;1;0
20801;800357;6419837;0;1;0
20801;801759;6414755;0;1;0
20801;806660;6418497;0;1;0
20801;806589;6432493;0;1;0
20801;798388;6405242;0;1;0
20801;796936;6424522;0;1;0
20801;796369;6400795;0;1;0
20801;804895;6402680;0;1;0
20801;779718;6376030;0;1;0
20801;772198;6389251;0;1;0
20801;717251;6438581;1;1;1
20801;710836;6457430;1;1;0
20801;715617;6463672;1;1;0
20801;691237;6443760;1;1;0
20801;676942;6436979;1;0;1
20801;666084;6425264;1;1;0
20801;656581;6427735;1;0;1
20801;635749;6430849;1;1;1
20801;714748;6453890;1;1;0
20801;710527;6446539;1;0;0
20801;655612;6423783;1;1;1
20801;679696;6442676;1;1;1
20801;648486;6458081;1;1;0
20801;648625;6420025;1;1;1
20801;644715;6418210;1;0;1
20801;652450;6432551;1;1;0
20801;671889;6430111;1;1;1
20801;717494;6424125;1;1;0
20801;636061;6399159;1;1;1
20801;656538;6472134;1;1;1
20801;702380;6449215;1;1;0
20801;654811;6447065;1;0;1
20801;661326;6449571;1;1;1
20801;652522;6452133;1;1;1
20801;653904;6442659;1;1;0
20801;655659;6425123;1;1;1
20801;639381;6449336;1;1;1
20801;645551;6452961;1;1;0
20801;707807;6438008;1;1;1
20801;699715;6418208;1;1;1
20801;654654;6423961;1;1;1
20801;657220;6423870;1;1;1
20801;656209;6425936;1;1;1
20801;659614;6422221;1;1;0
20801;660468;6402135;1;1;1
20801;648663;6424069;1;1;0
20801;686817;6424394;1;0;0
20801;663395;6483936;1;1;1
20801;657651;6422817;0;1;1
20801;654983;6425132;0;1;1
20801;697562;6412254;1;1;0
20801;723207;6442945;1;1;0
20801;639671;6414344;1;1;1
20801;720441;6449340;1;1;0
20801;643278;6404125;1;1;0
20801;649555;6408698;1;1;0
20801;647165;6397724;1;1;0
20801;666486;6477854;1;1;0
20801;674915;6475015;1;1;0
20801;679249;6469889;1;1;0
20801;689451;6471490;1;1;0
20801;666804;6466808;1;1;0
20801;662003;6458863;1;1;0
20801;705540;6428310;1;1;0
20801;694447;6418681;1;1;0
20801;695643;6404670;1;1;0
20801;700745;6426631;1;1;0
20801;689839;6422134;1;1;0
20801;699655;6398088;1;1;0
20801;704806;6434004;1;1;0
20801;641282;6425365;1;1;0
20801;664375;6454949;1;1;0
20801;657068;6426549;0;1;1
20801;705599;6437802;1;1;1
20801;711096;6435325;0;1;0
20801;669081;6426738;1;1;1
20801;683780;6449914;1;1;0
20801;678063;6451042;1;1;0
20801;663471;6433989;1;1;0
20801;712923;6460827;1;1;0
20801;706979;6454069;1;1;0
20801;653693;6426293;1;1;1
20801;653048;6421977;1;1;1
20801;661299;6426134;1;1;1
20801;704895;6415804;1;1;0
20801;692084;6450100;1;1;0
20801;666696;6443720;1;1;0
20801;678574;6465972;1;1;0
20801;644261;6434840;1;1;0
20801;684692;6463302;1;1;0
20801;672674;6441438;1;1;0
20801;699149;6461831;1;1;0
20801;710067;6461597;1;1;0
20801;640137;6440741;1;1;0
20801;692856;6463521;1;1;0
20801;659624;6438208;1;1;0
20801;706759;6437186;1;1;1
20801;667957;6450778;1;1;0
20801;659844;6413950;1;1;1
20801;694314;6439592;1;1;0
20801;695095;6459180;1;1;1
20801;635188;6407167;1;0;0
20801;708291;6436663;1;1;0
20801;674148;6464878;1;1;1
20801;655908;6461462;1;1;0
20801;647582;6431664;1;1;0
20801;673318;6459144;1;1;0
20801;702482;6411977;1;1;0
20801;656529;6474077;1;1;0
20801;651413;6417441;1;1;0
20801;697249;6452330;1;1;0
20801;704106;6446130;1;1;0
20801;704823;6451190;1;1;0
20801;652531;6394822;0;1;0
20801;635138;6413984;0;1;0
20801;681196;6429399;0;1;0
20801;673671;6431664;0;1;0
20801;670057;6425057;0;1;0
20801;664638;6420226;0;1;0
20801;668836;6420144;0;1;0
20801;684272;6446426;0;1;0
20801;688838;6433050;0;1;0
20801;634316;6421577;1;1;0
20801;639790;6409490;0;1;0
20801;663026;6414547;0;1;0
20801;684223;6425411;0;1;0
20801;685823;6431794;0;1;0
20801;691495;6434561;0;1;0
20801;679878;6442628;0;1;0
20801;657363;6422832;0;1;0
20801;714562;6431089;0;1;0
20801;847415;6453249;1;1;1
20801;841370;6395921;1;1;1
20801;838852;6385607;1;0;0
20801;836013;6364922;1;1;1
20801;862274;6440399;1;1;1
20801;843071;6467823;1;1;1
20801;844451;6443848;1;1;1
20801;845472;6409765;1;1;1
20801;849453;6431109;1;1;1
20801;841160;6392061;1;1;1
20801;847649;6448039;1;1;1
20801;839757;6376602;1;1;1
20801;873421;6444570;1;1;0
20801;848477;6421466;1;1;1
20801;884191;6442720;1;1;1
20801;853956;6431882;1;1;1
20801;846665;6458169;1;1;1
20801;841498;6404313;1;1;1
20801;869786;6364418;1;1;1
20801;850853;6426712;1;1;0
20801;860927;6405008;1;1;0
20801;851516;6437270;1;1;1
20801;857681;6434985;1;1;0
20801;851987;6407544;1;1;1
20801;846830;6414436;1;1;1
20801;843702;6385700;1;1;1
20801;841095;6362730;1;1;0
20801;885996;6407722;1;1;1
20801;865177;6369244;1;1;0
20801;863250;6360623;1;1;0
20801;846298;6355813;1;1;1
20801;842749;6370419;1;1;1
20801;874073;6401501;1;1;1
20801;878858;6409308;1;1;0
20801;879942;6403856;1;1;1
20801;850742;6370988;1;1;1
20801;877252;6400994;1;1;0
20801;864715;6400692;1;1;1
20801;860346;6465667;1;1;0
20801;859564;6459629;1;1;0
20801;860882;6452325;1;1;1
20801;861576;6444778;1;1;0
20801;842189;6459329;1;1;1
20801;868487;6439212;1;1;0
20801;848120;6424504;1;1;1
20801;842396;6448789;1;1;0
20801;850096;6428380;1;1;0
20801;860034;6373668;1;1;0
20801;867909;6379776;1;1;0
20801;859902;6380474;1;1;0
20801;854132;6385145;1;1;1
20801;849184;6427384;1;1;1
20801;849024;6428877;1;1;1
20801;849304;6427967;1;1;1
20801;851046;6421299;1;1;1
20801;853633;6413124;1;1;1
20801;855594;6415921;1;1;0
20801;854542;6441418;1;1;1
20801;855307;6390004;1;1;1
20801;857457;6397758;1;1;0
20801;858634;6400844;1;1;0
20801;912030;6406316;1;1;0
20801;879776;6441008;1;1;1
20801;893444;6433302;1;0;0
20801;839179;6386646;1;1;1
20801;838872;6384413;1;1;1
20801;851587;6428939;1;1;1
20801;849659;6427041;0;0;1
20801;848567;6425953;1;1;1
20801;864575;6441454;1;1;1
20801;847065;6465221;1;1;1
20801;856593;6447277;1;1;1
20801;839046;6385656;1;1;1
20801;888644;6395843;1;1;1
20801;881470;6354750;1;1;1
20801;871819;6362088;1;1;0
20801;885536;6367473;1;1;0
20801;861474;6441494;1;1;0
