org;adr;dep;com;gps;lat;long;catr;voie;v1;v2;pr;pr1;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav
5;RN5, MARCHE CONSEIL;971;101;;;;;;;;;;0;0;1;1;1;;0;MARCHE CONSEIL;;0,44
1;Section Richeplaine;971;128;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;Route de sandy ground;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;3;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;RN1 - PR 53+900;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;00 0089, PAUL LACAVE (AV;971;105;;;;;;;;;;0;0;1;1;1;;0;PAUL LACAVE (AVENUE );;0,44
5;00 0124, CITE DES  ERYTR;971;105;;;;;;;;;;0;0;1;1;1;;0;CITE DES  ERYTRINES;;0,44
5;Parking cora Desmarais;971;105;;;;;;;;;;0;0;1;1;2;;0;Parking cora Desmarais;;0,44
5;00 0063, LARDENOY (RUE D;971;105;;;;;;;;;;0;0;1;1;1;;0;LARDENOY (RUE DE );;0,44
5;00 0024, CHARLES DE GAUL;971;105;;;;;;;;;;0;0;1;1;1;;0;CHARLES DE GAULLE (BOULEVARD);;0,44
5;RN4, SECTION MARE-GAILLA;971;113;;;;;;;;;;0;0;1;0;1;;0;SECTION MARE-GAILLARD;;0,44
5;ROND POINT IGNACE;971;101;;;;;;;;;;0;0;1;1;1;0;0;BOULEVARD DES HEROS;;0,44
5;SECTION GRANDE RAVINE;971;113;;;;;;;;;;0;0;1;1;1;;0;SECTION GRANDE RAVINE;;0,44
5;PROVIDENCE;971;101;;;;;;;;;;0;0;1;1;1;129;0;PROVIDENCE;;0,44
5;PETIT PEROU;971;101;;;;;;;;;;0;0;1;0;1;0;0;PETIT PEROU;;0,44
1;route de Sandy ground;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;115;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;RN1, BAIMBRIDGE;971;101;;;;;;;;;;0;0;1;2;1;;0;BAIMBRIDGE;;0,44
5;MONTAUBAN (SECTEUR);971;113;;;;;;;;;;0;0;1;0;1;;0;MONTAUBAN (SECTEUR);;0,44
5;00, FREBAULT;971;120;;;;;;;;;;0;0;1;1;1;0;0;FREBAULT;;0,44
