"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"32","80","80379","2018","08037918M0008","9","2","SEL","SEL SCHERPEREEL","51288601100026","1",,"Allee de l'albatros",,,"80440","GLISY",,"100",,,,"zac du bois plante II",,"80440","GLISY",,,,,2,1585,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-05-25",
"32","80","80379","2018","08037918M0012","1","2","SCI","SADE IMMOBILIER","51366433400010","48",,"RUE DU GAZ",,,"62137","COULOGNE",,"100","13",,"AVENUE DE L'ETOILE DU SUD",,,"80440","GLISY",,,,,2,6001,,,,,"1",0,0,0,0,0,0,0,0,0,363,302,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,"2018-07-02",
"32","80","80379","2018","08037918M0013","2","2","Chambre de Commerce et d'Indus","C.C.I AMIENS PICARDIE","13001311300019","6",,"boulevard de Belfort",,,"80039","AMIENS","1","100",,,"Allee de Maitre Zacharius","Bois Plante 2",,"80440","GLISY",,,,,2,6530,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-08-24",
"32","80","80379","2018","08037918M0014","1","2",,"SCCV FRAICHEUR DES CHAMPS",,"5",,"RUE DES INDES NOIRES",,,"80440","BOVES",,"100",,,"Allee de Maitre ZACHARIUS",,,"80440","GLISY",,,,,2,5950,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-08-22",
"32","80","80379","2018","08037918M0015","1","2",,"SCI D 1029","83514280300013","5",,"RUE DE LA VALLEE",,,"80480","DURY",,"100",,,"Allee de Maitre Zacharius",,,"80440","GLISY",,,,,2,2762,,,,,"1",0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,"2018-08-22",
"32","80","80527","2018","08052718V0002","9","2",,"Mairie de MENESLIES",,,,"Place Camille de MONS",,,"80520","MENESLIES",,"100",,,"Rue du huit mai 1945",,,"80520","MENESLIES",,,,,1,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,16,0,0,0,0,0,0,0,0,"13",2018-09-30,,
"32","80","80561","2018","08056118M0013","9","2","SARL","SARL EGEE","50189429900012","3",,"rue Parmentier",,,"80500","MONTDIDIER",,"100","1",,"rue Parmentier",,,"80500","MONTDIDIER",,"232AI",,,2,100,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9",2018-09-30,"2018-09-19",
"32","80","80611","2018","08061118P0004","8","2",,"SCI JACQUES","824284269","214",,"rue Saint Honore",,,"80000","AMIENS",,"100","8bis",,"rue d'Estrees",,,"80160","ORESMAUX",,"540H",,,2,1093,,,,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,"2018-08-16",
"32","80","80622","2018","08062218P0003","9","2",,"Com DE Com Nievre Somme","20007122300016","1",,"Allee des Quarante",,,"80420","FLIXECOURT",,"100",,,"Chemin de Halage",,,"80310","PICQUIGNY",,"6AB","7AB",,2,2125,,,,"1","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,1,"9",2018-09-30,"2018-08-20",
"32","80","80632","2018","08063218M0003","9","2","CHU AMIENS PICARDIE",,"26800014800018",,,"D408 - SITE SUD",,,"80000","Amiens",,"100",,,,"LE PLAN",,"80480","Pont-de-Metz",,"0039ZB","0037ZB","0033ZB",2,34094,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,1,0,0,0,"8",2018-09-30,"2018-09-06",
"32","80","80632","2018","08063218M0007","9","2",,"NES PROMOTIO",,"316",,"RUE DES 4 LEMAIRE",,,"80000","AMIENS",,"100",,,"PRE DE LA DIGUE",,,"80480","PONT-DE-METZ",,"75AB","73AB","76AB",1,10618,,,,"3",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,,
"32","80","80658","2018","08065818S0001","9","2","SCI jade Immo",,"83234405500013","13","RUE","du moulin",,,"80200","Athies",,"100",,,"rue de nesle",,,"80400","Quivieres",,"0032ZN",,,1,2345,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"32","80","80672","2018","0806721800001","2","2",,"COMMUNAUTE DE COMMUNES DU VAL DE SOMME","28000049900025","31ter",,"Gambetta",,,"80800","Corbie",,"100","2",,"de la Filature",,,"80800","Ribemont-sur-Ancre",,"0404AB","0405AB","0406AB",2,3463,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,0,391,456,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,1,"14",2018-09-30,"2018-09-11",
"32","80","80688","2018","08068818R0012","9","2","ENTREPRISE OU ETABLISSEMENTS A","GEDIMAT BRUANT",,"53","ROUTE","DE CANTERAINE",,,"80120","RUE",,"100","53","ROUTE","DE CANTERAINE",,,"80120","RUE",,"28AP","11AP","150AP",2,21248,,,,"2","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3248,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-03",
"32","80","80718","2018","08071818P0002","1","2",,"SCI DES BORNES DU TEMPS","79448357800017",,,"Chemin du Moulin Brule",,,"80650","VIGNACOURT",,"100",,,"Champ l'Eguillon - RD97",,,"80470","SAINT-SAUVEUR",,"30ZO",,,2,9977,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,624,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-09-30,"2018-09-12",
"32","80","80718","2018","08071818P0003","1","2",,"SCI DE L'UNION","837836634","25",,"rue Louis Braille",,,"80000","AMIENS",,"100",,,,"""Vallee de Camincourt""",,"80470","SAINT-SAUVEUR",,"54ZO",,,2,3274,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-26",
"32","80","80725","2018","08072518M0008","9","2",,"SCCV LE GLACIER","837640275RCS","32",,"Allee de la Pepiniere Bati",,"20315","80044","AMIENS","1","100","21",,"rue Victor Hugo",,,"80480","SALOUEL",,"46AC","47AC","48AC",1,8360,,,,"3",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,,
"32","80","80767","2018","08076718M0003","9","2","SCA CALIPSO",,"50459595000016","86","BD","DE LA REPUBLIQUE",,,"80100","Abbeville",,"100",,"RTE","DEPARTEMENTALE 936","LE ROUATRE",,"80140","Le Translay",,"0036ZL",,,1,46441,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4176,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
