Operateur;X;Y;C2G;C3G;C4G
34020;-61.0213889637;14.796944794;1;1;1
34020;-61.022500075;14.7616670242;1;1;1
34020;-61.14463898;14.736528128;1;1;1
34020;-60.9730556411;14.6544447968;1;1;1
34020;-61.0708334003;14.61083368;1;1;1
34020;-60.8961112163;14.5241670102;1;1;1
34020;-60.9516667577;14.5094447924;1;1;1
34020;-61.0744445111;14.4777781257;1;1;1
34020;-61.2252778201;14.8225003556;1;0;0
34020;-61.1560278193;14.660333658;1;1;1
34020;-60.9575000901;14.482222571;1;1;1
34020;-61.0288889636;14.4827781286;1;1;1
34020;-61.0550000695;14.6413892426;1;1;1
34020;-61.1358333885;14.7802781348;1;1;1
34020;-60.8333334556;14.4838892344;1;1;1
34020;-60.9472223141;14.5677781233;1;1;1
34020;-61.086944508;14.6633336806;1;1;1
34020;-61.0875000634;14.6891670203;1;0;0
34020;-60.8825001086;14.4327781246;1;1;1
34020;-60.9797223059;14.7463892375;1;1;1
34020;-61.0688889559;14.6027781294;1;1;1
34020;-61.0533334029;14.6147225694;1;1;1
34020;-60.9161112104;14.5322225672;1;1;1
34020;-60.8913889945;14.547500347;1;1;1
34020;-60.9086112119;14.6230559052;1;1;1
34020;-61.0972222839;14.6169447972;1;1;0
34020;-61.1116699678;14.6333300316;1;1;1
34020;-60.9744399932;14.5556100011;1;1;1
34020;-60.9278834266;14.5993059078;1;1;1
